H;Hidrógeno;1.00;2.2
He;Helio;4.00;-
Li;Litio;6.93;0.98
Be;Berilio;09.01;1.57
B;Boro;10.81;02.04
C;Carbono;12.01;2.55
N;Nitrógeno;14.01;03.04
O;Oxígeno;16.00;3.44
F;Flúor;19.00;3.98
Ne;Neón;20.18;-
Na;Sodio;22.99;0.93
Mg;Magnesio;24.31;1.31
Al;Aluminio;26.98;1.61
Si;Silicio;28.09;1.90
P;Fósforo;30.97;2.19
S;Azufre;32.06;2.58
Cl;Cloro;35.45;3.16
Ar;Argón;39.94;-
K;Potasio;39.04;0.82
Ca;Calcio;40.07;1
Sc;Escandio;44.95;1.36
Ti;Titanio;47.86;1.54
V;Vanadio;50.94;1.63
Cr;Cromo;51.99;1.66
Mn;Manganeso;54.93;1.55
Fe;Hierro;55.84;1.83
Co;Cobalto;58.93;1.91
Ni;Niquel;58.69;1.88
Cu;Cobre;63.54;1.90
Zn;Zinc;65.38;1.65
Ga;Galio;69.72;1.81
Ge;Germanio;72.64;02.01
As;Arsénico;74.92;2.18
Se;Selenio;78.96;2.55
Br;Bromo;79.9;2.96
Kr;Kriptón;83.79;3.0
Rb;Rubidio;85.46;0.82
Sr;Estroncio;87.62;0.95
Y;Itrio;88.9;1.22
Zr;Zirconio;91.22;1.33
Nb;Niobio;92.9;1.60
Mo;Molibdeno;95.96;2.16
Tc;Tecnecio;98;1.90
Ru;Rutenio;101.07;2.20
Rh;Rodio;102.9;2.28
Pd;Paladio;106.42;2.20
Ag;Plata;107.86;1.93
Cd;Cadmio;112.44;1.69
In;Indio;114.81;1.78
Sn;Estaño;118.71;1.96
Sb;Antimonio;121.76;02.05
Te;Telurio;127.6;2.10
I;Yodo;126.9;2.66
Xe;Xenón;131.29;2.60
Cs;Cesio;132.9;0.79
Ba;Bario;137.32;0.89
La;Lantano;138.9;1.10
Ce;Cerio;140.11;1.12
Pr;Praseodimio;140.9;1.13
Nd;Neodimio;144.24;1.14
Pm;Prometio;145;-
Sm;Samario;150.36;1.17
Eu;Europio;151.96;-
Gd;Gadolinio;157.25;1.20
Tb;Terbio;158.92;-
Dy;Disprosio;162.5;1.22
Ho;Holmio;164.93;1.23
Er;Erbio;167.25;1.24
Tm;Tulio;168.93;1.25
Yb;Iterbio;173.05;-
Lu;Lutecio;174.96;1.27
Hf;Hafnio;178.49;1.30
Ta;Tantalio;180.94;1.50
W;Wolframio;183.84;2.36
Re;Renio;186.20;1.90
Os;Osmio;190.23;2.20
Ir;Iridio;192.21;2.20
Pt;Platino;195.08;2.28
Au;Oro;196.96;2.54
Hg;Mercurio;200.59;2.00
Ti;Talio;204.38;1.62
Pb;Plomo;207.2;2.33
Bi;Bismuto;208.98;02.02
Po;Polonio;210;2.00
At;Astato;210;2.20
Rn;Radón;220;-
Fr;Francio;223;0.70
Ra;Radio;226;0.90
Ac;Actinio;227;1.10
Th;Torio;232.03;1.30
Pa;Protactinio;231.03;1.50
U;Uranio;238.02;1.38
Np;Neptunio;237;1.36
Pu;Plutonio;244;1.28
Am;Amercio;243;1.30
Cm;Curio;247;1.30
Bk;Berkelio;247;1.30
Cf;Californio;251;1.30
Es;Einstenio;252;1.30
Fm;Fermio;257;1.30
Md;Mendelevio;258;1.30
No;Nobelio;259;1.30
Lr;Laurencio;262;-
Rf;Rutherfordio;261;-
Db;Dubnio;262;-
Sg;Seaborgio;266;-
Bh;Bohrio;264;-
Hs;Hassio;277;-
Mt;Meitnerio;268;-
Ds;Darmstatio;271;-
Rg;Roentgenio;272;-
Cn;Copernicio;285;-
Nh;Nihonio;284;-
Fl;Flerovio;289;-
Mc;Moscovio;288;-
Lv;Livermorio;292;-
Ts;Teneso;294;-
Og;Oganeson;294;-
